month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,71,15.7,12.687096774193549,7.614999999999998,1.9629999999999999
Feb-1950,52.4,10.3,12.221428571428572,4.441000000000001,4.5409999999999995
Mar-1950,77.3,6.3,12.964516129032257,3.0680000000000005,10.324
Apr-1950,74.8,17.9,11.446666666666665,4.986,1.1130000000000002
May-1950,80.4,36,7.783870967741933,6.146000000000001,0
Jun-1950,83.1,45.5,8.936666666666666,6.906999999999999,0
Jul-1950,80.2,54.4,8.561290322580646,5.113999999999999,0
Aug-1950,82.2,49.3,6.729032258064514,3.0060000000000007,0
Sep-1950,78.2,36.4,7.616666666666666,8.48,0
Oct-1950,76,36.8,8.516129032258064,3.4320000000000004,0
Nov-1950,73.4,5.2,11.173333333333334,3.6430000000000002,26.179
Dec-1950,53.3,-4.2,9.838709677419354,1.369,21.725
Jan-1951,62.7,4,12.13225806451613,3.826000000000001,9.346
Feb-1951,63.1,-10.5,10.910714285714283,3.3140000000000005,4.073
Mar-1951,67.6,17.6,11.87741935483871,3.782,7.973
Apr-1951,73.5,28.3,11.260000000000002,6.475999999999999,2.05
May-1951,78.6,38.7,9.26774193548387,5.597999999999999,0
Jun-1951,85.6,48.2,8.390000000000002,7.839999999999998,0
Jul-1951,85.7,50,6.951612903225806,3.4080000000000004,0
Aug-1951,85.8,49.2,6.509677419354838,2.391,0
Sep-1951,81.6,38.2,8.523333333333333,3.026,0
Oct-1951,81.4,36.8,8.970967741935484,1.699,0
Nov-1951,61.9,16.6,11.74,3.7960000000000003,5.966
Dec-1951,67.4,-3.3,12.677419354838712,4.8,8.919
Jan-1952,60.3,11.1,12.161290322580648,7.135999999999999,4.175000000000001
Feb-1952,55.4,23,10.899999999999999,2.0580000000000003,5.718
Mar-1952,70.7,20,12.222580645161292,5.556,4.786
Apr-1952,78.9,25.7,10.969999999999999,5.818,3.566
May-1952,76.2,37.6,9.900000000000004,8.282999999999998,0
Jun-1952,88.1,48.3,8.640000000000002,4.357,0
Jul-1952,90.2,53.3,7.41290322580645,2.032,0
Aug-1952,85.6,49.2,7.877419354838709,3.564,0
Sep-1952,88.5,44,7.0600000000000005,2.008,0
Oct-1952,80.3,24,9.73225806451613,1.3550000000000002,0.8860000000000001
Nov-1952,68.7,19.1,10.116666666666669,3.5540000000000003,2.4029999999999996
Dec-1952,62.5,15.3,10.25806451612903,2.817,13.197
Jan-1953,56.3,11.8,12.600000000000001,3.316,11.341000000000001
Feb-1953,55.7,7.8,11.400000000000002,2.6960000000000006,6.376
Mar-1953,65.9,15,11.85483870967742,4.276,8.504000000000001
Apr-1953,73.8,25.6,12.506666666666668,6.755,3.259
May-1953,80.9,42.4,9.751612903225807,6.802999999999998,0
Jun-1953,88.2,46.3,7.293333333333331,3.4789999999999996,0
Jul-1953,87.5,52,6.548387096774191,1.6010000000000002,0
Aug-1953,91.4,51.9,6.225806451612901,2.865,0
Sep-1953,95.2,39.1,8.643333333333333,1.2680000000000002,0
Oct-1953,81,34.6,7.664516129032258,1.405,0
Nov-1953,68.3,4.6,9.063333333333334,1.033,5.332
Dec-1953,60.7,6.4,12.167741935483873,3.1400000000000006,5.523999999999998
Jan-1954,58.7,-8.5,11.629032258064516,2.0599999999999996,13.174000000000001
Feb-1954,65.9,10.1,12.082142857142857,1.818,4.402000000000001
Mar-1954,72.3,3.3,12.012903225806452,2.5000000000000004,10.661000000000003
Apr-1954,79.6,25.1,10.85,3.6229999999999998,0.49700000000000005
May-1954,80,33,8.858064516129032,3.471,0.14
Jun-1954,85.1,47.2,8.48,4.517,0
Jul-1954,88.9,52.2,7.616129032258065,5.255999999999999,0
Aug-1954,82.9,50.3,8.222580645161289,6.817999999999999,0
Sep-1954,86.5,42.5,8.6,2.402,0
Oct-1954,79.3,27.8,9.529032258064516,6.886999999999998,0.448
Nov-1954,65.4,19.1,9.636666666666667,1.7650000000000001,7.053000000000001
Dec-1954,54.7,-2.5,10.983870967741936,2.533,12.693000000000001
Jan-1955,53.9,-18.2,10.793548387096774,1.125,11.421000000000001
Feb-1955,60.7,-8.8,10.053571428571427,4.188000000000001,8.266
Mar-1955,69.9,16,13.7,6.503,6.517999999999999
Apr-1955,74.4,27.7,10.466666666666667,4.809,0.084
May-1955,83.3,39.1,9.42258064516129,3.724,0
Jun-1955,83,47,7.973333333333334,5.1019999999999985,0
Jul-1955,87.5,61.5,6.416129032258065,2.112,0
Aug-1955,90.5,55.2,8.119354838709677,8.299999999999999,0
Sep-1955,83.1,47.5,8.366666666666665,1.5950000000000002,0
Oct-1955,80.6,32.3,9.370967741935484,4.171,0
Nov-1955,70.1,10.9,11.07333333333333,2.513,5.904
Dec-1955,56.6,5,9.651612903225807,2,4.595
Jan-1956,50.2,-4.8,9.01290322580645,2.219,11.579999999999998
Feb-1956,58.6,11.1,13.127586206896549,7.471999999999999,2.6860000000000004
Mar-1956,62.5,4.9,12.561290322580644,5.723999999999999,9.968
Apr-1956,75.6,25.1,12.31666666666667,5.454999999999998,5.41
May-1956,78.2,35.4,11.09354838709677,6.722,0.055
Jun-1956,82.7,43.6,7.540000000000002,5.114,0
Jul-1956,85.4,51.3,8.093548387096773,6.739999999999998,0
Aug-1956,83.7,48.7,7.632258064516128,6.509,0
Sep-1956,83,34.1,8.803333333333333,2.825,0
Oct-1956,74.1,34.5,9.648387096774194,2.113,0
Nov-1956,67.9,12.2,10.28,1.7870000000000001,4.795999999999999
Dec-1956,62.4,11.6,11.767741935483873,6.079999999999999,7.467
Jan-1957,57.4,-11.8,10.083870967741934,4.3389999999999995,14.036000000000001
Feb-1957,64.4,13.3,9.642857142857142,4.7509999999999994,8.557999999999998
Mar-1957,65.5,19.2,10.78709677419355,2.5970000000000004,6.691
Apr-1957,79.4,26.8,11.033333333333333,5.7719999999999985,1.7920000000000003
May-1957,82.5,33,9.506451612903223,3.8390000000000004,0
Jun-1957,87.7,52.6,8.78,5.880000000000001,0
Jul-1957,86,52.6,7.525806451612902,2.942,0
Aug-1957,85.5,51.4,7.316129032258064,1.675,0
Sep-1957,87.5,39.9,8.726666666666667,3.6140000000000003,0
Oct-1957,68.7,27,8.035483870967742,4.3149999999999995,2.07
Nov-1957,66.5,22.9,11.453333333333331,3.162,1.767
Dec-1957,58.6,7.5,11.93225806451613,4.747,8.311
Jan-1958,45.5,4.1,10.483870967741938,2.4160000000000004,16.457
Feb-1958,49.9,-10.8,12.717857142857145,1.2800000000000002,14.162999999999998
Mar-1958,53.3,16.6,9.10967741935484,1.7110000000000003,12.562999999999997
Apr-1958,76.9,26.1,10.719999999999999,5.183,0.581
May-1958,78.3,39,9.55161290322581,6.7189999999999985,0
Jun-1958,81.4,44.9,9.08,5.956,0
Jul-1958,84.3,57.1,8.548387096774194,8.274,0
Aug-1958,80.9,49.6,7.203225806451614,4.943999999999999,0
Sep-1958,81.2,42.9,8.866666666666667,3.650000000000001,0
Oct-1958,74,35.1,9.845161290322583,1.635,0
Nov-1958,72.8,-1.7,11.34,2.5100000000000002,4.224
Dec-1958,48.9,-5.2,9.822580645161292,0.8370000000000001,5.501
Jan-1959,62.7,-3,12.167741935483873,4.1530000000000005,9.674000000000001
Feb-1959,58.3,8,12.275000000000002,4.299999999999999,3.818
Mar-1959,68.8,20.9,12.522580645161291,2.7870000000000004,9.286999999999999
Apr-1959,75.9,16.2,10.529999999999996,5.435,5.931
May-1959,81.8,36.4,8.66451612903226,2.6900000000000004,0
Jun-1959,87.7,44.9,8.260000000000002,1.7480000000000004,0
Jul-1959,89.9,55.5,7.154838709677421,3.7350000000000003,0
Aug-1959,87.9,56.5,6.329032258064519,3.8810000000000002,0
Sep-1959,86.8,40.9,7.706666666666665,2.37,0
Oct-1959,81.4,33.7,9.219354838709675,5.508000000000001,0
Nov-1959,70.1,14.9,10.859999999999996,4.484000000000001,4.856
Dec-1959,54.2,6.3,9.75806451612903,2.914,12.14
Jan-1960,54.7,7.5,11.774193548387093,4.185999999999999,4.274000000000001
Feb-1960,60,4,13.179310344827583,1.5300000000000002,26.041999999999998
Mar-1960,65,-2.1,11.287096774193548,0.6839999999999999,22.423000000000005
Apr-1960,79.9,26.5,11.556666666666668,2.1969999999999996,1.085
May-1960,78.9,35.8,10.251612903225809,6.799999999999997,0.112
Jun-1960,81.9,49.5,8.309999999999999,4.916,0
Jul-1960,83.1,52.2,6.867741935483871,5.011999999999999,0
Aug-1960,82.9,55.9,7.116129032258066,3.7560000000000007,0
Sep-1960,81.9,46.6,6.89,3.1480000000000006,0
Oct-1960,74.2,29.8,8.4,3.2860000000000005,0.388
Nov-1960,67.3,15.8,10.110000000000001,2.074,4.286
Dec-1960,58.8,-6.1,10.412903225806453,0.9249999999999998,19.478
Jan-1961,45.7,-10.9,10.741935483870964,0.6360000000000001,21.439
Feb-1961,65.5,4,10.939285714285713,2.967,15.974
Mar-1961,70.9,19.2,12.554838709677417,6.318,3.54
Apr-1961,72.9,26.1,13.056666666666668,6.072,11.042000000000003
May-1961,78,34.3,10.480645161290322,5.415,0.444
Jun-1961,81.6,43.3,7.4433333333333325,6.705999999999998,0
Jul-1961,82.2,49.7,7.967741935483871,6.9739999999999975,0
Aug-1961,83.2,51.2,6.3419354838709685,4.103000000000001,0
Sep-1961,83,41.3,6.920000000000001,1.8510000000000004,0
Oct-1961,73.6,33.8,8.76774193548387,3.0320000000000005,0
Nov-1961,75.8,23.9,9.520000000000001,4.199000000000001,1.447
Dec-1961,60.1,-3.1,11.122580645161294,4.264999999999999,9.31
Jan-1962,60.9,0.2,11.77741935483871,3.088,6.8309999999999995
Feb-1962,57.4,-9.7,11.357142857142856,5.3020000000000005,13.834999999999999
Mar-1962,69.8,13,10.82258064516129,3.056,13.882999999999997
Apr-1962,78.4,21.6,10.776666666666667,3.8860000000000006,5.4159999999999995
May-1962,83.6,42.4,9.238709677419354,5.3020000000000005,0
Jun-1962,83,50.8,6.716666666666667,2.968,0
Jul-1962,83.2,51.2,8.041935483870967,4.609999999999999,0
Aug-1962,88,51.9,7.65483870967742,1.7510000000000001,0
Sep-1962,81.4,37.5,8.830000000000002,4.621,0
Oct-1962,76.7,20.8,9.025806451612903,4.327,2.704
Nov-1962,57.8,26.1,10.23333333333333,3.597,1.9929999999999999
Dec-1962,59.1,-8.1,11.161290322580644,1.2730000000000001,23.192999999999998
Jan-1963,50.1,-17.9,9.680645161290322,0.8500000000000001,11.624
Feb-1963,49,-18.1,10.049999999999999,0.9780000000000001,16.179
Mar-1963,71.9,14.8,13.012903225806449,7.336999999999999,7.846
Apr-1963,76.6,26.5,11.94,3.601,0.415
May-1963,79.4,27.8,9.577419354838714,3.799,0.965
Jun-1963,85.1,45.8,6.9766666666666675,4.772999999999999,0
Jul-1963,84.6,49,7.290322580645162,4.432,0
Aug-1963,80.5,49.5,7.83225806451613,5.008999999999999,0
Sep-1963,79.8,39.1,7.876666666666666,1.978,0
Oct-1963,76.9,34.8,6.925806451612903,0.34199999999999997,0
Nov-1963,65.1,22.4,10.919999999999998,5.787999999999999,4.724
Dec-1963,45.2,-8.5,10.348387096774196,0.7210000000000001,17.764999999999997
Jan-1964,58.4,1,12.222580645161292,2.113,12.605000000000002
Feb-1964,44.2,-2.8,11.055172413793102,1.216,25.628999999999998
Mar-1964,68.6,18.6,13.067741935483873,4.481999999999998,6.714
Apr-1964,74.1,18.4,11.47,7.464,0.36200000000000004
May-1964,81,41.5,9.848387096774195,1.677,0
Jun-1964,85.9,44.7,8.073333333333334,4.576999999999999,0
Jul-1964,88.4,53.5,6.6677419354838685,4.017,0
Aug-1964,84.1,47.2,7.9709677419354845,2.511,0
Sep-1964,88.1,42.9,8.206666666666669,3.881,0
Oct-1964,70.6,28.7,8.432258064516128,1.5130000000000001,0
Nov-1964,65.8,15.7,10.593333333333332,5.020000000000001,2.097
Dec-1964,59.8,10.7,10.535483870967743,3.9130000000000003,5.196
Jan-1965,56.9,-5.8,11.874193548387098,4.3759999999999994,16.032999999999998
Feb-1965,60.9,0.3,12.72857142857143,2.527,8.17
Mar-1965,60.5,-0.8,11.525806451612905,3.963,12.710000000000003
Apr-1965,70,23.8,10.886666666666665,6.516,0.58
May-1965,80.4,40.2,8.670967741935483,2.362,0
Jun-1965,82.9,47.7,8.513333333333334,1.7680000000000002,0
Jul-1965,86,52.4,7.499999999999999,3.7570000000000006,0
Aug-1965,89.8,44.6,7.919354838709678,4.231,0
Sep-1965,83.6,41.7,8.093333333333332,3.1149999999999998,0
Oct-1965,69.8,24.9,10.148387096774192,4.691,0
Nov-1965,63.8,22.9,10.843333333333332,2.1950000000000003,1.108
Dec-1965,63.4,19.3,10.132258064516128,1.2720000000000002,4.559
Jan-1966,56.2,-10.3,11.27741935483871,3.4850000000000003,16.268
Feb-1966,52,1.2,10.689285714285715,3.4659999999999997,13.840999999999998
Mar-1966,75.9,16.6,10.445161290322583,1.625,7.406
Apr-1966,75.4,26.2,9.729999999999997,7.244000000000001,5.450999999999999
May-1966,78.9,27.3,9.209677419354836,2.8180000000000005,0.413
Jun-1966,89,38.1,7.5133333333333345,1.0110000000000001,0
Jul-1966,92.2,50.7,7.290322580645161,3.89,0
Aug-1966,82.5,53.3,6.748387096774194,3.1630000000000003,0
Sep-1966,80.8,42.5,8.879999999999999,3.37,0
Oct-1966,72.8,33.2,9.283870967741931,2.504,0
Nov-1966,68.8,24.7,10.309999999999999,3.5500000000000003,4.478
Dec-1966,69,-6.7,9.89677419354839,2.3550000000000004,9.596
Jan-1967,64.4,14.5,11.048387096774196,2.596,4.184
Feb-1967,54.4,-11.7,12.342857142857142,1.3440000000000003,20.6
Mar-1967,72.3,2.4,10.983870967741934,6.741,9.684999999999999
Apr-1967,75.1,25.8,11.350000000000003,4.7989999999999995,0.444
May-1967,75.4,35,10.441935483870973,9.740999999999998,0
Jun-1967,86.4,42,7.123333333333333,1.178,0
Jul-1967,83.2,52,6.787096774193548,4.203,0
Aug-1967,81.2,49.8,7.264516129032257,2.9930000000000003,0
Sep-1967,79.5,40.3,8.013333333333334,3.522,0
Oct-1967,74.5,29,9.235483870967743,3.443,0.028
Nov-1967,66.7,18.4,11.24333333333333,3.044,13.574
Dec-1967,64.4,10.6,10.725806451612907,3.1180000000000008,10.782
Jan-1968,47.4,-8.8,10.280645161290325,1.0310000000000001,14.900999999999998
Feb-1968,49.8,0.7,11.641379310344824,0.422,8.064
Mar-1968,71.8,3.9,12.132258064516131,3.9470000000000005,6.544
Apr-1968,74.2,27.6,10.003333333333332,2.5370000000000004,0.36000000000000004
May-1968,76.9,32,10.67741935483871,8.450999999999999,0
Jun-1968,85,46.4,8.186666666666667,3.011,0
Jul-1968,87.9,50.1,6.345161290322583,1.5770000000000002,0
Aug-1968,85.7,46.8,7.129032258064516,2.9870000000000005,0
Sep-1968,80.3,47.4,7.773333333333336,2.3100000000000005,0
Oct-1968,75.8,28.7,9.716129032258063,4.049,0.529
Nov-1968,67.5,15.6,11.156666666666668,3.902,8.833
Dec-1968,53.6,2.5,12.467741935483874,3.13,9.168
Jan-1969,56.1,1,11.190322580645162,3.508,3.8720000000000003
Feb-1969,48.2,2.3,10.725,0.8210000000000001,7.534999999999999
Mar-1969,65.2,7.2,11.16451612903226,1.334,6.946999999999999
Apr-1969,77,25,10.273333333333332,4.492000000000001,0.224
May-1969,82.5,33.7,9.225806451612902,3.242,0
Jun-1969,87.6,46.3,8.729999999999999,5.036999999999999,0
Jul-1969,86.5,57.7,6.838709677419356,4.014,0
Aug-1969,83.2,50.8,6.4548387096774205,3.9090000000000003,0
Sep-1969,84.1,42.5,6.946666666666666,2.779,0
Oct-1969,79,26,9.561290322580644,2.2180000000000004,0.222
Nov-1969,59.8,19.3,9.936666666666664,3.201,3.872
Dec-1969,41.5,0.8,11.161290322580648,3.398,24.014000000000003
Jan-1970,52.8,-6.8,10.748387096774193,1.028,15.097999999999999
Feb-1970,53.6,-4.9,11.389285714285714,2.4370000000000003,12.123999999999999
Mar-1970,62.3,8,10.232258064516131,3.2590000000000003,12.346
Apr-1970,81.1,26.1,11.286666666666669,3.7520000000000002,2.02
May-1970,82.7,30.1,9.219354838709679,2.7430000000000003,0
Jun-1970,84.4,48,8.036666666666667,3.4170000000000003,0
Jul-1970,87.5,53.5,7.458064516129033,2.9739999999999998,0
Aug-1970,84,54.3,6.96774193548387,2.682,0
Sep-1970,84,41.9,7.946666666666668,2.8680000000000003,0
Oct-1970,76.3,32.8,10.090322580645163,4.223,0
Nov-1970,61.2,13.2,10.81,4.340999999999999,0.8340000000000001
Dec-1970,61.1,12.4,12.493548387096771,5.689000000000001,9.092
Jan-1971,49.3,-1.3,12.516129032258066,2.3100000000000005,10.231000000000002
Feb-1971,61.8,-6.4,12.317857142857141,4.5009999999999994,9.389000000000001
Mar-1971,67,4,12.709677419354838,1.667,19.82
Apr-1971,73.1,28.2,11.706666666666669,1.7320000000000002,1.575
May-1971,79,30.8,9.912903225806453,6.537999999999999,0.056
Jun-1971,86.8,50.4,7.0533333333333355,2.587,0
Jul-1971,85.2,52.3,7.5,4.632,0
Aug-1971,81,48.9,6.751612903225806,3.1330000000000005,0
Sep-1971,84.2,45.5,6.619999999999999,4.237,0
Oct-1971,77.3,39.5,8.941935483870967,1.412,0
Nov-1971,71,4.8,10.826666666666664,1.928,14.349
Dec-1971,68.9,4.2,12.603225806451613,4.470000000000001,1.553
Jan-1972,64.3,-6.2,11.532258064516132,4.366,9.763000000000002
Feb-1972,56.2,-8.7,11.993103448275862,1.7550000000000001,24.301
Mar-1972,68.8,12.1,11.003225806451615,3.918,7.3790000000000004
Apr-1972,75.1,20.6,10.97,6.472000000000001,1.7970000000000002
May-1972,77.1,34.7,8.861290322580647,4.555000000000001,0
Jun-1972,81.9,37.5,9.003333333333334,11.555000000000001,0
Jul-1972,85.5,47.5,7.177419354838711,4.183000000000001,0
Aug-1972,83.6,48,7.022580645161293,3.4910000000000005,0
Sep-1972,80.5,42.8,7.980000000000001,2.894,0
Oct-1972,69.8,25,9.341935483870966,4.337,0.827
Nov-1972,72,22,10.193333333333333,6.707,6.24
Dec-1972,63.4,10.2,11.516129032258062,5.869999999999997,6.015000000000001
Jan-1973,58.4,11.7,11.335483870967744,2.6630000000000007,4.2
Feb-1973,55.2,-0.2,9.899999999999997,2.9480000000000004,8.126000000000001
Mar-1973,75.5,20.7,11.380645161290321,3.749,5.272
Apr-1973,75.3,16.6,11.763333333333334,6.4510000000000005,5.935
May-1973,74.4,35.1,11.032258064516126,5.747000000000001,0.056
Jun-1973,83.9,49.4,7.543333333333333,3.6090000000000004,0
Jul-1973,84.8,52.9,7.2774193548387105,4.642,0
Aug-1973,86.8,49.1,6.154838709677419,4.296999999999999,0
Sep-1973,85.8,43.9,7.823333333333332,4.171000000000001,0
Oct-1973,74.6,35.2,9.238709677419356,4.892,0.30500000000000005
Nov-1973,66,23.3,11.589999999999996,5.168,2.548
Dec-1973,60.1,11,11.622580645161293,4.163,13.667
Jan-1974,59,10.7,11.370967741935482,5.763,6.052
Feb-1974,55.3,9.4,11.992857142857146,2.062,7.459999999999999
Mar-1974,72.2,18.1,12.583870967741934,4.709,3.2880000000000003
Apr-1974,76.9,26.5,11.946666666666667,3.1790000000000003,2.2649999999999997
May-1974,81.4,34.3,9.945161290322579,6.391,0
Jun-1974,82.1,48.8,8.986666666666668,6.9079999999999995,0
Jul-1974,83.7,54.2,6.848387096774192,2.407,0
Aug-1974,81.5,54.4,6.983870967741935,4.428,0
Sep-1974,79.2,38.2,8.323333333333332,4.5040000000000004,0
Oct-1974,71.5,26.3,7.990322580645163,1.973,0.389
Nov-1974,70.1,19.3,11.15333333333333,3.057,8.943999999999999
Dec-1974,53.2,5.6,10.545161290322582,3.6990000000000003,20.422000000000004
Jan-1975,58.5,-4.5,12.177419354838706,3.119,18.186
Feb-1975,61.7,-7.6,11.799999999999997,2.873,7.3759999999999994
Mar-1975,65.9,14.5,12.71290322580645,5.73,8.161000000000001
Apr-1975,71.9,22.9,12.183333333333334,5.187,1.3800000000000001
May-1975,81.8,43.2,7.899999999999999,6.484,0
Jun-1975,83.2,45.5,8.736666666666663,4.452,0
Jul-1975,87.1,54.2,6.354838709677419,2.7920000000000003,0
Aug-1975,89.9,52.8,7.3741935483870975,5.310999999999998,0
Sep-1975,79.4,41.6,8.806666666666667,4.765000000000001,0
Oct-1975,74.7,28.2,8.738709677419356,3.8960000000000004,0
Nov-1975,73.5,26.3,10.24,2.567,2.301
Dec-1975,61.7,9.6,10.961290322580645,4.407,5.617
Jan-1976,53.8,-12.3,12.138709677419355,1.4220000000000002,18.249
