month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,48.2,-8.1,12.974193548387099,2.101,3.6769999999999996
Feb-1950,44.2,-4.5,12.310714285714287,0.504,10.651
Mar-1950,61.2,-7.6,13.8,1.8079999999999998,8.236999999999998
Apr-1950,69.8,22.3,13.663333333333334,4.567999999999999,1.0230000000000001
May-1950,82.6,30.3,12.648387096774192,4.723999999999999,0
Jun-1950,89.1,47.1,13.213333333333335,6.441999999999999,0
Jul-1950,83.4,49.9,9.367741935483869,4.917999999999998,0
Aug-1950,85.3,47.2,9.541935483870969,2.27,0
Sep-1950,80.2,41,9.916666666666666,4.356,0
Oct-1950,78.8,35.7,11.23225806451613,0.843,0
Nov-1950,68.6,2.6,13.580000000000002,1.073,0.8590000000000001
Dec-1950,39,-16.7,11.629032258064514,0.347,10.79
Jan-1951,41.1,-26,12.225806451612904,0.266,8.591999999999999
Feb-1951,47.7,-17.3,12.874999999999998,1.6150000000000002,10.093999999999998
Mar-1951,51.5,1.7,14.377419354838713,3.326,23.742
Apr-1951,79,25.6,13.229999999999999,6.297,1.078
May-1951,80.8,40.1,11.867741935483872,7.440999999999999,0
Jun-1951,81.1,49,9.723333333333333,5.078000000000001,0
Jul-1951,84.8,51.7,9.645161290322578,3.0420000000000003,0
Aug-1951,89.9,53.8,9.570967741935485,4.236999999999999,0
Sep-1951,82.4,37.9,12.770000000000001,3.266,0
Oct-1951,81,30.2,12.587096774193547,3.7200000000000006,0
Nov-1951,59.4,12.8,12.763333333333332,0.937,3.423
Dec-1951,59.3,-15.1,13.270967741935483,0.307,11.485000000000001
Jan-1952,50,-18.3,12.55483870967742,1.8299999999999998,9.354999999999997
Feb-1952,49.8,5.4,11.251724137931035,0.064,5.333
Mar-1952,64.4,0.1,12.68709677419355,2.3880000000000003,11.453
Apr-1952,84.2,25.6,11.556666666666667,1.691,4.804000000000001
May-1952,83.2,38.2,10.990322580645161,3.5440000000000005,0
Jun-1952,89.9,50.5,11.716666666666663,5.523999999999999,0
Jul-1952,89.7,56.4,11.590322580645159,5.412999999999999,0
Aug-1952,86.6,53,9.209677419354836,3.9330000000000003,0
Sep-1952,88,44.5,10.629999999999997,1.163,0
Oct-1952,70.8,25.1,12.054838709677423,0.004,0
Nov-1952,68.9,10.4,12.63333333333333,2.217,3.481
Dec-1952,49,5.7,10.719354838709679,0.8230000000000001,7.784999999999999
Jan-1953,51.7,-5.2,10.899999999999997,0.682,5.66
Feb-1953,50.9,-7.8,13.075,1.6530000000000002,4.695
Mar-1953,69.8,9.8,13.983870967741936,3.5810000000000004,4.644
Apr-1953,70.5,24.5,14.680000000000003,5.035,0.528
May-1953,86.8,32.9,12.403225806451612,2.722,0
Jun-1953,91.3,50.6,12.206666666666667,5.213000000000001,0
Jul-1953,88.6,54.7,8.93548387096774,5.541999999999999,0
Aug-1953,93.5,55.8,8.925806451612903,1.7360000000000002,0
Sep-1953,94,41.4,12.440000000000001,0.9110000000000001,0
Oct-1953,86.6,32.4,11.161290322580644,0.342,0
Nov-1953,69.8,19.4,12.54,0.8150000000000001,1.167
Dec-1953,51.5,-1.4,13.841935483870966,1.4200000000000002,3.4000000000000004
Jan-1954,40.2,-11.5,12.429032258064513,0.16399999999999998,4.611999999999999
Feb-1954,54.9,8.4,13.157142857142858,0.536,2.518
Mar-1954,56.9,9.3,13.412903225806454,2.39,5.993
Apr-1954,78.1,17,13.08,5.227999999999999,0.25
May-1954,76.3,29.8,12.658064516129034,4.769,0.056
Jun-1954,91.1,45.5,11.533333333333333,4.457,0
Jul-1954,91.6,57.7,9.17741935483871,1.4040000000000001,0
Aug-1954,85.7,53.3,9.41935483870968,6.137999999999998,0
Sep-1954,89.9,44.2,11.82,1.897,0
Oct-1954,83.8,24.2,11.264516129032256,5.997,0.112
Nov-1954,62.8,19.7,11.866666666666664,0.36600000000000005,4.561
Dec-1954,38.9,5.9,10.93548387096774,0.599,9.497
Jan-1955,42.6,-20.1,11.364516129032257,0.14300000000000002,3.359
Feb-1955,47,-13.6,11.535714285714286,1.249,4.396
Mar-1955,66,0.7,13.451612903225806,1.117,3.62
Apr-1955,76.2,31,13.64666666666667,4.141,0
May-1955,83.2,39.7,12.509677419354839,4.234999999999999,0
Jun-1955,87.9,46.1,9.99,2.1510000000000002,0
Jul-1955,96.9,64,8.735483870967741,1.5,0
Aug-1955,94.1,58.7,9.283870967741935,1.875,0
Sep-1955,93.9,47.3,12.060000000000002,3.072,0
Oct-1955,75.8,34.1,12.832258064516127,3.1300000000000003,1.737
Nov-1955,56.8,3.1,13.67666666666667,0.66,2.1870000000000003
Dec-1955,47.3,-8.5,11.551612903225804,0.249,5.335999999999999
Jan-1956,41.8,-18.2,9.651612903225807,0.269,4.018000000000001
Feb-1956,45.9,-9.8,9.479310344827587,0.562,3.5380000000000003
Mar-1956,57.2,-4.7,12.970967741935485,2.13,5.42
Apr-1956,73.6,25.3,13.88,4.376,1.2469999999999999
May-1956,83.3,35.3,14.348387096774198,6.261999999999999,0
Jun-1956,87.6,43.8,9.79,3.5860000000000003,0
Jul-1956,88.7,56.4,9.4,3.746,0
Aug-1956,89.4,52.1,10.483870967741934,3.8649999999999993,0
Sep-1956,84.1,37.4,10.87,1.217,0
Oct-1956,80.3,36.8,12.087096774193547,1.145,0
Nov-1956,66.3,7.2,13.786666666666665,1.522,2.052
Dec-1956,51.3,-9.4,11,0.404,5.085
Jan-1957,52.9,-17,11.945161290322583,0.088,5.729000000000001
Feb-1957,51.5,6.9,11.367857142857142,0.6080000000000001,2.053
Mar-1957,60.4,11.8,12.151612903225805,0.9870000000000001,6.128
Apr-1957,77.1,21.9,12.653333333333332,2.9920000000000004,0.47400000000000003
May-1957,79.1,36.5,12.558064516129036,6.276999999999999,0
Jun-1957,85.9,47.3,11.37,3.5020000000000007,0
Jul-1957,87.6,57.6,9.941935483870969,4.305,0
Aug-1957,88.8,54.2,8.661290322580646,2.064,0
Sep-1957,85.2,40.2,10.40666666666667,2.785,0
