month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,33.8,-12.9,3.8838709677419354,0.18400000000000002,27.533
Feb-1950,39.2,-11.4,4.253571428571429,0.9040000000000001,17.687999999999995
Mar-1950,39.8,12.4,5.209677419354838,1.3960000000000001,17.610999999999994
Apr-1950,48.8,24.3,5.7299999999999995,1.4490000000000003,2.685
May-1950,63.7,26.9,7.0129032258064505,0.6230000000000001,0.636
Jun-1950,78.6,33.3,5.806666666666668,2.204,0
Jul-1950,87.9,44.8,7.683870967741934,0.116,0
Aug-1950,86.6,43.3,6.622580645161289,0.42000000000000004,0
Sep-1950,88.3,35.7,5.870000000000002,0.36600000000000005,0
Oct-1950,60.7,28.8,4.990322580645161,4.624,2.601
Nov-1950,45.9,10.5,4.726666666666665,2.711,21.409999999999997
Dec-1950,41.2,17.7,3.735483870967742,1.169,17.935
Jan-1951,36.7,-1,4.696774193548387,0.5750000000000001,31.121
Feb-1951,39.1,5,4.603571428571429,2.2710000000000004,11.924999999999999
Mar-1951,44.4,6.6,5.467741935483872,0.072,15.293000000000003
Apr-1951,58.9,22.7,5.636666666666667,0.705,0.111
May-1951,74.1,28.5,6.596774193548388,1.8800000000000001,0
Jun-1951,81.3,35.7,6.703333333333334,1.644,0
Jul-1951,87.3,40.8,7.109677419354839,0.541,0
Aug-1951,88.5,45.4,6.641935483870968,2.158,0
Sep-1951,80.6,39.8,5.843333333333332,1.112,0
Oct-1951,66.5,20.8,4.858064516129031,2.6170000000000004,3.116
Nov-1951,45.6,15.3,4.456666666666667,1.5220000000000002,16.628999999999998
Dec-1951,36,7.4,4.183870967741935,0.181,27.154000000000003
Jan-1952,38.4,6.2,3.7677419354838713,0.136,27.324
Feb-1952,41.3,13.2,4.36896551724138,0.433,11.630000000000003
Mar-1952,44.5,15.5,5.3967741935483895,0.344,4.427
Apr-1952,66.1,22.5,6.263333333333333,0.651,1.74
May-1952,73.3,27.6,6.516129032258063,1.7950000000000002,0.028
Jun-1952,77,34,6.953333333333332,1.3419999999999999,0
Jul-1952,92.8,42.1,7.096774193548386,0.071,0
Aug-1952,89.5,43.6,6.445161290322581,0.281,0
Sep-1952,83.4,40.4,5.989999999999998,0.9229999999999999,0
Oct-1952,76.9,32.9,4.6645161290322585,0.204,0
Nov-1952,49.1,9.1,3.676666666666667,0.34500000000000003,6.728
Dec-1952,38.2,12.2,3.7741935483870965,0.259,34.699000000000005
Jan-1953,38.8,18.4,5.087096774193549,4.183000000000001,39.362
Feb-1953,41.6,10.7,5.439285714285715,0.8800000000000001,9.301
Mar-1953,46,16.7,5.46451612903226,0.91,5.1080000000000005
Apr-1953,55,21.3,5.89,1.3800000000000001,3.809
May-1953,66.1,28,6.090322580645161,2.72,0.056
Jun-1953,71.3,35.6,6.363333333333332,1.943,0
Jul-1953,87.1,41.5,6.800000000000002,0.064,0
Aug-1953,87.6,43.6,5.838709677419355,0.66,0
Sep-1953,82.5,35.7,6.26,1.5739999999999998,0
Oct-1953,65.1,29.7,4.693548387096775,1.9409999999999998,0
Nov-1953,47.2,21.7,4.540000000000003,4.486000000000001,13.241999999999999
Dec-1953,36.4,16.8,5.158064516129032,2.3640000000000003,24.549000000000003
Jan-1954,41.5,-0.6,4.35483870967742,0.701,38.772000000000006
Feb-1954,40,16.3,4.814285714285714,0.6719999999999999,17.355999999999998
Mar-1954,41.9,11.1,5.161290322580646,0.756,8.668
Apr-1954,52.1,23.5,6.203333333333335,0.9970000000000001,1.8070000000000002
May-1954,69.6,27.6,6.532258064516129,0.479,0
Jun-1954,72.8,29.4,7.493333333333331,1.1300000000000001,0
Jul-1954,81.9,40.8,6.741935483870967,0.977,0
Aug-1954,85.5,40.4,6.306451612903227,1.076,0
Sep-1954,74.1,34.7,5.760000000000001,1.615,0
Oct-1954,58.8,26.9,4.767741935483873,1.0950000000000002,0.028
Nov-1954,50.4,11.7,4.386666666666668,4.269,5.517999999999999
Dec-1954,35.3,9.6,4.180645161290323,0.356,21.810999999999996
Jan-1955,36.8,13.3,3.935483870967741,0.028,13.160000000000002
Feb-1955,36.4,5.2,5.1,0.538,23.754000000000005
Mar-1955,40.1,0.6,5.732258064516132,0.256,14.514
Apr-1955,48.6,21.8,5.67,0.44400000000000006,6.82
May-1955,58.1,26.8,6.780645161290322,0.7950000000000002,0.251
Jun-1955,84.5,32.5,7.203333333333333,0.388,0
Jul-1955,89.2,38.8,6.2354838709677445,1.458,0
Aug-1955,85.3,43.7,6.64516129032258,0,0
Sep-1955,87.3,35.5,5.990000000000003,0.5519999999999999,0
Oct-1955,62.5,21.1,5.232258064516128,2.7350000000000003,4.771000000000001
Nov-1955,43.2,-2.2,4.373333333333334,0.885,33.787000000000006
Dec-1955,34.7,4.5,4.119354838709677,1.146,39.937999999999995
Jan-1956,34.5,0,3.9225806451612897,0.08000000000000002,34.11999999999999
Feb-1956,37.3,-5.4,4.789655172413793,0.064,15.501
